Temperature, RH,FFMC,Classes  
29,57,65.7,0
29,61,64.4,0
26,82,47.1,0
25,89,28.6,0
27,77,64.8,0
31,67,82.6,1
33,54,88.2,1
30,73,86.6,1
25,88,52.9,0
28,79,73.2,0
31,65,84.5,1
26,81,84,1
27,84,50,0
30,78,59,0
28,80,49.4,0
29,89,36.1,0
30,89,37.3,0
31,78,56.9,0
31,55,79.9,0
30,80,59.8,0
30,78,81,1
31,67,79.1,0
32,62,81.4,1
32,66,85.9,1
31,64,86.7,1
31,64,86.8,1
34,53,89,1
32,55,89.1,1
32,47,79.9,0
33,50,88.7,1
29,68,59.9,0
27,75,55.7,0
32,76,63.1,0
33,78,80.1,0
33,66,85.9,1
32,63,87,1
35,64,80,0
33,68,85.6,1
32,68,66.6,0
33,69,66.6,0
33,76,81.1,0
31,75,75.1,0
34,81,81.8,0
34,61,73.9,0
30,80,60.7,0
28,76,72.6,0
29,70,82.8,1
31,68,85.4,1
35,59,88.1,1
33,65,81.4,1
33,70,85.4,1
28,79,73.4,0
27,66,68.2,0
28,78,70,0
31,65,84.3,1
36,53,89.2,1
36,48,90.3,1
33,76,86.5,1
32,73,86.6,1
31,79,85.4,1
35,64,87.2,1
36,45,78.8,0
35,55,78,0
35,63,76.6,0
34,69,85,1
34,65,86.8,1
32,75,86.4,1
32,69,86.5,1
32,60,77.1,0
35,59,87.4,1
35,55,88.9,1
35,63,88.9,1
35,51,81.3,0
35,63,87,1
33,66,87,1
36,55,82.4,1
36,61,80.2,1
37,52,89.3,1
36,54,89.4,1
35,62,89.4,1
35,68,88.3,1
36,58,88.6,1
36,55,89.1,1
36,53,89.5,1
34,64,88.9,1
35,60,88.9,1
31,78,85.8,1
33,82,84.9,1
34,64,89.4,1
35,48,90.1,1
35,70,72.7,0
28,80,52.5,0
25,76,46,0
22,86,30.5,0
25,78,42.6,0
29,73,68.4,0
29,75,80.8,1
29,74,75.8,0
31,71,69.6,0
30,73,62,0
30,77,56.1,0
33,73,59.9,0
30,77,58.5,0
29,88,71,0
25,86,40.9,0
22,76,47.4,0
24,82,44.9,0
30,65,78.1,0
31,52,87.7,1
32,49,89.4,1
29,57,89.3,1
28,84,83.8,1
31,55,87.8,1
31,50,77.8,0
32,54,73.7,0
29,65,68.3,0
26,81,48.6,0
31,54,82,0
31,66,85.7,1
32,47,77.5,0
26,80,47.4,0
25,78,45,0
32,71,57.1,0
30,73,55.7,0
29,80,48.7,0
30,64,79.4,0
32,60,77.1,0
35,54,83.7,1
35,44,85.6,1
28,51,71.4,0
27,59,78.1,0
30,41,89.4,1
31,42,90.6,1
27,58,88.9,1
30,52,72.3,0
27,79,53.4,0
28,90,66.8,0
29,87,47.4,0
31,69,62.2,0
33,62,65.5,0
32,67,64.6,0
31,72,60.2,0
32,55,86.2,1
33,46,78.3,0
33,59,74.2,0
35,68,85.3,1
34,70,86,1
36,62,87.8,1
36,55,89.1,1
37,37,92.5,1
37,36,86.2,1
34,42,79.7,0
28,58,63.7,0
33,48,87.6,1
34,56,84.7,1
34,58,88,1
34,45,90.5,1
35,42,84.7,1
38,43,85,1
35,47,80.8,1
36,43,82.3,1
34,51,77.5,0
34,56,74.8,0
36,44,90.1,1
39,45,85.2,1
37,37,88.9,
34,45,90.5,1
31,83,84.5,1
32,81,84.6,1
33,68,86.1,1
34,58,88.1,1
36,50,89.9,1
36,29,93.9,1
32,48,91.5,1
31,71,87.3,1
33,63,72.8,0
39,64,73.8,0
35,58,78.3,0
29,87,80,0
33,57,87.5,1
34,59,88.1,1
36,56,88.9,1
37,55,89.3,1
38,52,78.3,0
40,34,93.3,1
39,33,93.7,1
38,35,93.8,1
34,42,88.3,1
30,54,70.5,0
34,63,69.7,0
37,56,87.4,1
39,43,91.7,1
39,39,89.3,1
40,31,94.2,1
39,21,93,1
35,34,88.3,1
37,40,91.9,1
35,46,83.9,1
40,41,92,1
42,24,96,1
37,37,94.3,1
35,66,82.7,1
36,81,83.7,1
36,71,86,1
37,53,89.5,1
36,43,91.2,1
35,38,92.1,1
34,40,92.1,1
33,37,92.2,1
36,54,91,1
35,56,79.2,0
35,53,80.2,1
34,49,89.2,1
30,59,89.1,1
29,86,37.9,0
28,67,75.4,0
28,75,82.2,1
30,66,73.5,0
30,58,66.1,0
34,71,64.5,0
31,62,83.3,1
30,88,82.5,1
30,80,83.1,1
29,74,59.5,0
30,73,79.2,0
31,72,84.2,1
29,49,88.6,1
28,81,84.6,1
32,51,88.7,1
33,26,93.9,1
34,44,92.5,1
36,33,90.6,1
29,41,83.9,1
34,58,79.5,0
35,34,92.2,1
33,64,88.9,1
35,56,89,1
26,49,61.3,0
28,70,79.9,0
30,65,85.4,1
28,87,41.1,0
27,87,45.9,0
24,54,79.7,0
24,64,67.3,0
